Date,Cumulative Cases,Cases,Cumulative Deaths,Deaths,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C,ON,ON C,BC,BC C,QC,QC C,AB,AB C,SK,SK C,NS,NS C,MB,MB C,NB,NB C,NL,NL C,PE,PE C,YT,YT C,NT,NT C,NU,NU C,,Act,ActC
Mar 24,"2,792",701,27,3,85,588,145,617,385,1013,57,358,6,72,10,51,1,21,1,18,11,35,0,3,0,2,0,1,0,0,2,8,0,13,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2,579",624
Mar 25,"3,409",617,35,8,100,688,42,659,326,1339,61,419,14,86,17,68,14,35,8,26,32,67,2,5,1,3,0,1,0,0,5,13,1,14,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"3,177",598
Mar 26,"4,043",634,39,4,170,858,66,725,290,1629,67,486,9,95,5,73,1,36,7,33,15,82,4,9,0,3,0,1,0,0,2,15,0,14,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"3,776",599
Mar 27,"4,757",714,55,16,135,993,67,792,392,2021,56,542,9,104,17,90,3,39,12,45,20,102,2,11,1,4,0,1,0,0,3,18,2,16,10,18,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,"4,348",572
Mar 28,"5,655",898,61,6,151,1144,92,884,477,2498,79,621,30,134,20,110,25,64,6,51,18,120,0,11,0,4,0,1,0,0,1,19,1,17,4,22,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"5,093",745
Mar 29,"6,320",665,66,5,211,1355,0,884,342,2840,40,661,22,156,12,122,8,72,15,66,15,135,0,11,0,4,0,1,0,0,4,23,0,17,0,22,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"5,669",576
Mar 30,"7,448","1,128",89,23,351,1706,86,970,590,3430,29,690,20,176,5,127,24,96,2,68,13,148,7,18,1,5,0,1,0,0,10,33,2,19,3,25,5,8,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,"6,245",576
Mar 31,"8,591","1,143",101,12,260,1966,43,1013,732,4162,64,754,8,184,20,147,7,103,2,70,4,152,3,21,0,5,0,1,0,0,0,33,5,24,6,31,1,9,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"7,193",948
Apr 1,"9,731","1,140",111,10,426,2392,53,1066,449,4611,117,871,9,193,26,173,24,127,11,81,23,175,0,21,1,6,1,2,0,0,4,37,1,25,2,33,2,11,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"7,884",691
Apr 2,"11,285","1,554",138,27,401,2793,55,1121,907,5518,97,968,13,206,20,193,40,167,10,91,8,183,1,22,0,6,2,4,0,0,16,53,6,31,3,36,2,13,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"9,176","1,292"
Apr 3,"12,549","1,264",187,49,462,3255,53,1174,583,6101,107,1075,14,220,14,207,15,182,4,95,12,195,0,22,0,6,0,4,0,0,14,67,4,35,25,61,5,18,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,,"10,039",863
Apr 4,"14,018","1,469",233,46,375,3630,29,1203,896,6997,106,1181,11,231,29,236,12,194,3,98,8,203,0,22,0,6,0,4,0,0,27,94,3,38,14,75,2,20,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,"11,013",974
Apr 5,"15,512","1,494",280,47,407,4037,0,1203,947,7944,69,1250,18,249,26,262,9,203,3,101,14,217,0,22,0,6,1,5,0,0,25,119,0,38,19,94,3,23,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,"12,132","1,119"
Apr 6,"16,667","1,155",324,44,310,4347,63,1266,636,8580,98,1348,4,253,31,293,1,204,2,103,9,226,0,22,1,7,0,5,0,0,13,132,1,39,28,122,1,24,0,3,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,,"12,727",595
Apr 7,"17,897","1,230",381,57,379,4726,25,1291,760,9340,25,1373,7,260,17,310,13,217,2,105,2,228,0,22,0,7,0,5,0,0,21,153,4,43,28,150,2,26,0,3,1,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,,"13,466",739
Apr 8,"19,291","1,394",435,54,550,5276,45,1336,691,10031,50,1423,11,271,32,342,4,221,3,108,4,232,3,25,1,8,0,5,0,0,21,174,5,48,25,175,3,29,0,3,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,,"14,203",737
Apr 9,"20,765","1,474",509,74,483,5759,34,1370,881,10912,28,1451,7,278,31,373,3,224,3,111,4,236,0,25,0,8,0,5,0,0,26,200,2,50,41,216,3,32,0,3,1,2,0,3,0,0,1,3,0,0,0,0,0,0,0,0,,"14,945",742
Apr 10,"22,148","1,383",569,60,478,6237,40,1410,765,11677,49,1500,7,285,34,407,6,230,1,112,3,239,0,25,0,8,0,5,0,0,22,222,5,55,25,241,7,39,0,3,0,2,1,4,0,0,0,3,0,0,0,0,0,0,0,0,,"15,566",621
Apr 11,"23,317","1,169",653,84,411,6648,35,1445,615,12292,69,1569,4,289,21,428,12,242,0,112,2,241,0,25,0,8,0,5,0,0,31,253,3,58,48,289,1,40,1,4,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,,"16,014",448
Apr 12,"24,383","1,066",717,64,401,7049,0,1445,554,12846,82,1651,9,298,17,445,0,242,2,114,1,242,0,25,0,8,0,5,0,0,21,274,0,58,39,328,4,44,0,4,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,,"16,494",480
Apr 13,"25,680","1,297",780,63,421,7470,45,1490,711,13557,81,1732,2,300,29,474,4,246,2,116,2,244,0,25,0,8,0,5,0,0,17,291,11,69,32,360,2,46,0,4,1,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,,"17,142",648
Apr 14,"27,063","1,383",903,123,483,7953,27,1517,691,14248,138,1870,1,301,43,517,0,246,0,116,0,244,0,25,0,8,0,5,0,0,43,334,3,72,75,435,2,48,0,4,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,,"17,925",783
Apr 15,"28,379","1,316","1,010",107,494,8447,44,1561,612,14860,126,1996,3,304,32,549,0,246,1,117,3,247,1,26,0,8,0,5,0,0,51,385,3,75,52,487,0,48,0,4,0,3,1,5,0,0,0,3,0,0,0,0,0,0,0,0,,"18,390",465
Apr 16,"30,106","1,727","1,195",185,514,8961,14,1575,997,15857,162,2158,1,305,30,579,4,250,0,117,5,252,0,26,0,8,0,5,0,0,38,423,2,77,143,630,2,50,0,4,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,,"19,182",792
Apr 17,"31,927","1,821","1,310",115,564,9525,43,1618,941,16798,239,2397,2,307,27,606,0,250,0,117,4,256,0,26,1,9,0,5,0,0,55,478,1,78,58,688,0,50,0,4,1,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,,"20,074",892
Apr 18,"33,382","1,455","1,470",160,485,10010,29,1647,723,17521,165,2562,6,313,43,649,3,253,1,118,0,256,0,26,0,9,0,5,0,0,36,514,3,81,117,805,1,51,0,4,3,7,0,5,0,0,0,3,0,0,0,0,0,0,0,0,,"20,705",631
Apr 19,"35,055","1,673","1,587",117,568,10578,0,1647,836,18357,241,2803,2,315,26,675,0,253,0,118,0,256,0,26,0,9,0,5,0,0,39,553,0,81,72,877,4,55,0,4,2,9,0,5,0,0,0,3,0,0,0,0,0,0,0,0,,"21,625",920
Apr 20,"36,830","1,775","1,690",103,606,11184,52,1699,962,19319,105,2908,1,316,46,721,1,254,0,118,0,256,0,26,2,11,0,5,0,0,31,584,5,86,62,939,4,59,0,4,0,9,1,6,0,0,0,3,0,0,0,0,0,0,0,0,,"22,561",936
Apr 21,"38,421","1,591","1,834",144,551,11735,25,1724,807,20126,187,3095,4,320,16,737,1,255,0,118,0,256,0,26,0,11,0,5,0,0,38,622,1,87,102,1041,2,61,0,4,1,10,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"23,399",838
Apr 22,"40,190","1,769","1,974",140,510,12245,71,1795,839,20965,306,3401,6,326,35,772,2,257,0,118,0,256,0,26,0,11,0,5,0,0,37,659,3,90,93,1134,5,66,0,4,2,12,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"24,230",831
Apr 23,"42,110","1,920","2,147",173,634,12879,29,1824,873,21838,319,3720,5,331,55,827,5,262,0,118,0,256,0,26,0,11,0,5,0,0,54,713,4,94,109,1243,2,68,0,4,4,16,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"25,202",972
Apr 24,"43,888","1,778","2,302",155,640,13519,29,1853,778,22616,297,4017,10,341,23,850,1,263,0,118,0,256,0,26,0,11,0,5,0,0,50,763,4,98,97,1340,4,72,0,4,0,16,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"26,045",843
Apr 25,"45,354","1,466","2,465",163,476,13995,95,1948,651,23267,216,4233,8,349,15,865,4,267,0,118,1,257,0,26,0,11,0,5,0,0,48,811,2,100,106,1446,1,73,0,4,6,22,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"26,464",419
Apr 26,"46,895","1,541","2,560",95,437,14432,0,1948,840,24107,247,4480,4,353,8,873,4,271,0,118,1,258,0,26,0,11,0,5,0,0,24,835,0,100,69,1515,0,73,0,4,2,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"27,014",550
Apr 27,"48,500","1,605","2,707",147,424,14856,50,1998,875,24982,216,4696,12,365,27,900,1,272,0,118,0,258,0,26,0,11,0,5,0,0,57,892,3,103,84,1599,2,75,1,5,0,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"27,525",511
Apr 28,"49,027",527,"2,766",59,527,15383,0,1998,0,24982,0,4696,0,365,0,900,0,272,0,118,0,258,0,26,0,11,0,5,0,0,59,951,0,103,0,1599,0,75,0,5,0,24,0,6,0,0,0,3,0,0,0,0,0,0,0,0,,"27,554",29
