date,AT-hd,BE-hd,BG-hd,HR-hd,CY-hd,CZ-hd,DK-hd,EE-hd,FI-hd,FR-hd,DE-hd,GR-hd,HU-hd,IS-hd,IE-hd,IT-hd,LV-hd,LI-hd,LT-hd,LU-hd,MT-hd,NL-hd,NO-hd,PL-hd,PT-hd,RO-hd,SK-hd,SI-hd,ES-hd,SE-hd,CH-hd,GB-hd
2021-06-07,,42,,35,5,56,19,4,,383,158,127,,0,2,142,26,,13,,0,47,4,11,9,124,7,15,295,,1,175
2021-06-08,,73,,37,5,56,16,6,,405,112,106,,0,7,142,26,,13,,0,52,5,9,8,124,2,19,244,,0,190
2021-06-09,,65,,30,2,56,12,2,,391,116,102,,0,12,142,26,,13,,0,38,5,9,7,124,8,12,218,,1,193
2021-06-10,,48,,33,4,56,23,4,,297,100,119,,0,5,142,26,,13,,0,40,1,6,7,124,7,7,206,,0,201
2021-06-11,,47,,32,,56,13,7,,313,96,116,,0,7,142,26,,13,,0,34,9,3,3,124,4,15,242,,1,179
2021-06-12,,45,,21,3,56,12,7,,198,51,103,,0,8,142,26,,13,,0,22,1,5,14,124,3,10,157,,1,178
2021-06-13,,25,,17,1,56,11,7,,111,59,66,,0,9,93,26,,13,,0,23,4,5,8,124,1,6,177,,0,222
2021-06-14,,40,,17,6,33,15,10,,325,92,75,,0,10,93,19,,7,,0,42,5,8,10,41,3,3,205,,1,228
2021-06-15,,45,,24,4,33,16,6,,300,80,81,,0,3,93,19,,7,,0,23,3,5,16,41,8,11,211,,0,232
2021-06-16,,27,,26,7,33,9,5,,198,74,61,,0,9,93,19,,7,,0,26,3,2,14,41,6,8,204,,0,229
2021-06-17,,33,,31,4,33,8,3,,225,65,62,,0,3,93,19,,7,,0,27,2,3,11,41,5,6,154,,0,242
2021-06-18,,29,,18,7,33,7,6,,171,59,62,,0,8,93,19,,7,,0,29,4,9,14,41,2,7,170,,0,239
2021-06-19,,33,,25,3,33,7,3,,102,45,65,,0,7,94,19,,7,,0,12,3,3,10,41,5,8,123,,0,212
2021-06-20,,28,,18,4,33,8,5,,51,44,47,,0,9,73,19,,7,,0,17,2,3,15,41,5,7,138,,0,206
2021-06-21,,27,,14,2,17,12,5,,216,74,58,,0,4,73,13,,6,,0,15,3,5,9,42,2,7,171,,0,228
2021-06-22,,24,,13,7,17,7,6,,181,51,49,,0,7,73,13,,6,,0,16,4,5,10,42,2,4,167,,1,238
2021-06-23,,29,,11,4,17,6,3,,167,35,64,,0,6,73,13,,6,,0,16,6,3,15,42,2,2,158,,0,277
2021-06-24,,30,,18,4,17,7,2,,140,58,52,,0,6,74,13,,6,,0,10,2,6,30,42,1,2,152,,1,255
2021-06-25,,15,,13,1,17,6,4,,148,41,45,,0,8,74,13,,6,,0,16,3,,15,42,,5,186,,0,255
2021-06-26,,24,,20,6,17,10,3,,81,44,37,,0,8,74,13,,6,,0,11,2,6,13,42,2,5,144,,1,267
2021-06-27,,12,,5,9,17,6,0,,42,19,38,,0,4,64,13,,6,,0,8,0,1,6,42,,2,171,,1,268
2021-06-28,,15,,11,9,13,7,0,,176,42,32,,0,6,64,7,,4,,1,7,2,1,5,20,2,5,179,,1,310
2021-06-29,,18,,16,9,13,4,3,,134,30,36,,0,6,64,7,,4,,1,10,2,1,18,20,1,4,193,,0,368
2021-06-30,,14,,13,5,13,3,3,,158,29,37,,0,7,65,7,,4,,1,4,2,2,12,20,1,2,199,,1,416
2021-07-01,,7,,12,10,13,4,1,,109,47,32,,0,12,65,7,,4,,1,10,3,1,11,20,1,4,229,,0,372
2021-07-02,,22,,10,15,13,8,2,,118,32,44,,0,9,65,7,,4,,1,7,2,3,24,20,,2,214,,0,391
2021-07-03,,17,,11,8,13,8,4,,79,31,29,,0,6,65,7,,4,,1,4,0,1,10,20,,6,243,,0,392
2021-07-04,,16,,12,21,13,2,2,,41,31,58,,0,10,75,7,,4,,1,11,6,1,16,20,,2,224,,1,465
2021-07-05,,11,,11,15,9,5,6,,137,52,47,,0,5,75,7,,3,,1,10,3,1,16,,1,1,298,,2,517
2021-07-06,,24,,16,10,9,10,3,,149,46,58,,0,8,75,7,,3,,1,4,3,1,12,,,4,310,,1,574
2021-07-07,,28,,17,21,9,5,4,,140,41,67,,0,13,75,7,,3,,1,11,3,2,22,,1,4,339,,0,569
2021-07-08,,7,,11,17,9,7,2,,100,45,58,,0,13,75,7,,3,,1,17,4,,14,,1,3,411,,1,607
2021-07-09,,20,,9,17,9,4,0,,147,42,66,,0,5,75,7,,3,,1,13,5,5,16,,2,2,383,,0,557
2021-07-10,,16,,13,22,9,4,4,,101,37,63,,0,7,75,7,,3,,1,16,0,,21,,3,3,374,,0,552
2021-07-11,,12,,3,28,9,3,2,,23,23,80,,0,9,106,7,,3,,1,17,0,2,14,,,1,383,,0,593
2021-07-12,,15,,6,23,9,10,2,,267,52,98,,0,7,107,6,,,,2,21,2,3,18,,1,0,554,,3,732
2021-07-13,,28,,12,28,9,15,3,,246,62,98,,0,8,107,6,,,,2,24,2,1,12,,2,1,547,,0,751
2021-07-14,,22,,17,26,9,12,2,,115,52,112,,0,21,107,6,,,,2,33,1,3,20,,1,1,618,,0,756
2021-07-15,,29,,13,27,9,11,4,,213,41,101,,0,23,107,6,,,,2,41,0,7,23,,1,0,632,,1,772
2021-07-16,,27,,13,24,9,8,0,,220,60,122,,0,16,107,6,,,,2,49,2,5,17,,,2,692,,0,700
2021-07-17,,28,,12,36,9,11,2,,114,62,132,,0,18,107,6,,,,2,43,5,2,18,,,2,655,,0,709
2021-07-18,,20,,15,38,9,7,1,,54,43,135,,0,19,182,6,,,,2,56,6,2,15,,,2,688,,0,799
2021-07-19,,27,,10,30,11,7,0,,360,71,136,,1,15,183,4,,8,,2,86,1,1,20,91,,1,912,,0,876
2021-07-20,,30,,15,37,11,12,3,,327,56,161,,1,17,183,4,,8,,2,75,1,3,32,91,,1,904,,0,936
2021-07-21,,28,,11,31,11,14,5,,281,81,173,,1,17,183,4,,8,,2,74,3,2,29,91,,2,891,,0,928
2021-07-22,,28,,14,43,11,11,3,,292,82,147,,1,26,183,4,,8,,2,66,4,2,20,91,,4,933,,0,954
2021-07-23,,27,,15,31,11,11,5,,330,65,178,,1,25,183,4,,8,,2,93,3,3,22,91,,2,1035,,0,864
2021-07-24,,34,,10,24,11,11,4,,182,59,164,,1,18,183,4,,8,,2,68,5,1,19,91,,4,814,,2,828
2021-07-25,,27,,18,38,11,10,8,,92,55,158,,1,23,227,4,,8,,2,75,2,1,17,91,,1,798,,0,941
2021-07-26,,25,,12,29,12,12,6,,607,121,153,,2,30,228,5,,14,,2,95,4,3,18,41,4,0,1079,,0,938
2021-07-27,,39,,21,44,12,15,3,,557,100,196,,2,29,228,5,,14,,2,80,3,2,27,41,1,4,1004,,0,917
2021-07-28,,43,,19,41,12,17,6,,490,80,173,,2,30,228,5,,14,,2,82,5,4,21,41,3,1,945,,2,851
2021-07-29,,37,,18,22,12,8,4,,501,97,207,,2,32,228,5,,14,,2,80,0,2,15,41,5,2,951,,1,837
2021-07-30,,27,,25,34,12,10,8,,640,105,152,,2,25,228,5,,14,,2,81,6,1,29,41,3,3,968,,3,747
2021-07-31,,42,,23,34,12,13,8,,467,90,163,,2,20,228,5,,14,,2,64,0,5,22,41,,3,797,,0,675
2021-08-01,,38,,8,27,12,13,6,,312,86,167,,2,20,289,5,,14,,2,59,2,5,17,41,1,1,674,,1,740
2021-08-02,,41,,14,34,,6,5,,688,140,143,,,22,289,,,4,,5,76,6,11,18,,,3,854,,0,786
2021-08-03,,44,,20,32,,14,5,,818,114,204,,,14,289,,,4,,3,53,5,4,22,,2,1,990,,1,764
2021-08-04,,40,,22,28,,9,7,,772,115,193,,,35,289,,,4,,6,64,5,5,20,,,3,887,,1,835
2021-08-05,,38,,15,25,,12,8,,712,116,204,,,20,289,,,4,,4,64,4,5,21,,,4,889,,3,812
2021-08-06,,43,,15,35,,20,9,,862,145,209,,,23,289,,,4,,3,59,5,4,22,,,3,850,,1,780
2021-08-07,,52,,30,24,,12,4,,482,143,209,,,32,290,,,4,,,47,1,8,18,,,4,672,,2,728
2021-08-08,,45,,30,25,,20,8,,498,117,212,,,26,334,,0,4,,2,48,8,5,23,,,2,646,,2,744
2021-08-09,,51,,26,22,,13,11,,833,202,211,,,26,334,,0,,,3,58,10,10,10,,1,1,829,,2,757
2021-08-10,,64,,26,23,,14,9,,944,199,247,,,34,335,,0,,,6,59,0,8,25,,2,8,808,,2,891
2021-08-11,,45,,26,28,,30,8,,773,193,200,,,34,335,,0,,,3,56,1,8,19,,,4,761,,7,849
2021-08-12,,58,,22,25,,24,8,,894,185,255,,,41,335,,0,,,3,68,6,2,25,,1,10,721,,6,860
2021-08-13,,66,,27,19,,17,14,,836,228,285,,,30,335,,0,,,2,80,5,6,26,,2,6,644,,7,787
2021-08-14,,53,,28,15,,16,14,,606,190,211,,,33,335,,1,,,5,50,5,6,14,,3,5,558,,7,789
2021-08-15,,47,,20,16,,24,9,,399,217,224,,,35,361,,0,,,4,60,8,5,18,,1,5,508,,7,808
2021-08-16,,49,,28,22,,29,10,,950,281,218,,,24,361,,0,,,4,76,7,14,12,,,3,666,,8,870
2021-08-17,,84,,39,23,,18,12,,1075,239,290,,,31,361,,0,,,4,56,4,5,17,,2,5,594,,3,966
2021-08-18,,66,,43,19,,28,11,,1036,302,277,,,37,362,,0,,,1,56,8,6,17,,2,13,612,,8,909
2021-08-19,,60,,32,11,,28,10,,976,256,267,,,31,362,,1,,,1,68,6,9,20,,3,8,524,,7,946
2021-08-20,,49,,31,20,,29,14,,887,286,280,,,37,362,,1,,,2,48,8,5,17,,,5,546,,6,869
2021-08-21,,59,,37,15,,27,4,,805,263,230,,,52,362,,1,,,2,41,8,4,25,,1,18,478,,7,871
2021-08-22,,45,,31,15,,30,9,,542,283,268,,,64,374,,0,,,4,59,7,5,16,,1,6,410,,8,832
2021-08-23,,59,,45,16,,28,13,,943,391,294,,,26,374,,0,,,,62,10,3,21,,4,10,544,,3,967
2021-08-24,,74,,56,12,,24,14,,1145,365,260,,,42,374,,1,,,2,54,8,5,26,,4,20,477,,6,999
2021-08-25,,57,,64,12,,28,13,,883,364,271,,,56,374,,1,,,5,53,12,12,19,,2,16,501,,6,1032
2021-08-26,,57,,41,11,,22,17,,741,309,248,,,57,374,,1,,,2,63,6,8,12,,7,29,449,,9,953
2021-08-27,,58,,47,19,,24,17,,908,315,279,,,47,374,,1,,,1,75,12,6,18,,9,24,453,,5,940
2021-08-28,,69,,47,9,,30,19,,465,342,281,,,45,375,,1,,,3,52,7,7,9,,4,22,326,,4,862
2021-08-29,,47,,38,13,,22,8,,311,294,215,,,41,338,,0,,,3,40,14,11,22,,3,16,318,,3,853
2021-08-30,,58,,52,15,,24,25,,725,431,239,,,40,338,,0,,,1,66,16,10,10,,3,18,402,,8,1001
2021-08-31,,83,,53,11,,27,19,,941,321,247,,,38,338,,0,,,2,58,17,6,23,,10,22,379,,3,998
2021-09-01,,66,,58,10,,35,19,,742,439,233,,,52,339,,0,,,4,66,4,14,25,,4,26,374,,2,1080
2021-09-02,,74,,69,11,,24,8,,648,413,247,,,45,339,,1,,,3,53,11,10,21,,13,24,354,,7,1001
2021-09-03,,66,,47,16,,33,19,,624,406,201,,,43,339,,1,,,,69,7,12,23,,14,33,289,,2,927
2021-09-04,,80,,72,11,,20,12,,424,299,270,,,40,339,,1,,,1,54,5,9,12,,8,32,250,,3,951
2021-09-05,,56,,53,18,,19,14,,227,322,184,,,34,308,,0,,,2,33,8,7,12,,4,29,239,,3,878
2021-09-06,,66,,62,11,,17,13,,661,449,229,,,47,309,,0,,,,56,13,15,15,,23,17,301,,6,1076
2021-09-07,,82,,76,10,,28,17,,761,410,202,,,49,309,,0,,,,54,12,16,15,,7,33,320,,6,1102
2021-09-08,,64,,68,9,,28,15,,595,370,212,,,25,309,,0,,,2,67,16,13,19,,10,39,239,,5,1162
2021-09-09,,64,,65,14,,24,38,,554,389,181,,,41,309,,0,,,1,50,20,18,11,,14,47,212,,3,1033
2021-09-10,,61,,55,9,,21,19,,505,394,229,,,45,309,,0,,,3,41,10,24,11,,11,35,219,,4,921
2021-09-11,,47,,69,10,,18,15,,322,288,220,,,32,309,,1,,,2,44,11,14,10,,8,26,158,,8,850
2021-09-12,,42,,44,10,,12,12,,187,305,183,,,32,264,,0,,,1,45,18,15,11,,5,27,156,,2,864
2021-09-13,,58,,45,8,,10,11,,446,433,205,,,25,264,,0,,,2,53,8,16,5,,18,29,216,,8,940
2021-09-14,,77,,87,6,,17,23,,577,347,224,,,32,264,,0,,,1,46,12,12,6,,17,45,180,,4,947
2021-09-15,,62,,62,11,,17,19,,452,366,206,,,35,264,,0,,,1,47,10,18,5,,9,46,201,,3,948
2021-09-16,,77,,79,4,,8,23,,382,362,186,,,37,265,,1,,,,43,13,17,4,,13,33,184,,4,890
2021-09-17,,56,,93,8,,16,19,,371,308,193,,,40,265,,1,,,1,44,11,18,4,,21,41,163,,5,752
2021-09-18,,57,,79,10,,12,14,,243,247,192,,,33,265,,1,,,,38,16,7,1,,9,35,105,,2,759
2021-09-19,,43,,70,8,,9,21,,113,251,128,,,38,206,,0,,,2,29,7,6,11,,10,32,116,,1,731
2021-09-20,,46,,52,7,,14,23,,373,334,212,,,37,206,,0,,,,36,10,17,8,,19,29,157,,8,811
2021-09-21,,60,,92,4,,15,20,,503,313,227,,,35,206,,0,,,4,26,13,27,5,,22,55,146,,3,803
2021-09-22,,61,,93,6,,8,19,,361,337,162,,,34,206,,0,,,2,28,6,14,12,,15,47,128,,4,751
2021-09-23,,65,,66,3,,12,16,,301,309,216,,,53,206,,0,,,,39,4,19,14,,25,46,127,,3,774
2021-09-24,,32,,64,8,,9,25,,296,347,158,,,43,207,,1,,,1,38,14,20,8,,21,43,131,,1,726
2021-09-25,,52,,76,4,,12,21,,196,252,191,,,33,207,,1,,,1,33,4,6,12,,14,22,95,,4,674
2021-09-26,,39,,64,8,,11,18,,89,244,168,,,30,180,,0,,,,27,10,12,3,,11,36,86,,3,668
2021-09-27,,55,,61,8,,23,31,,343,388,145,,,28,181,,0,,,,43,14,22,10,,26,46,105,,6,778
2021-09-28,,72,,105,5,,11,33,,304,314,206,,,41,181,,0,,,,41,12,26,13,,23,47,106,,4,775
2021-09-29,,66,,92,5,,10,23,,254,328,,,,42,181,,1,,,,30,6,30,6,,21,41,112,,2,803
2021-09-30,,64,,76,1,,15,32,,238,284,,,,31,181,,1,,,,41,7,22,8,,22,49,91,,1,702
2021-10-01,,62,,78,5,,9,26,,214,315,,,,46,181,,1,,,,47,6,22,7,,24,42,115,,2,691
2021-10-02,,63,,72,5,,16,33,,141,247,,,,36,181,,1,,,2,32,7,20,4,,18,51,83,,0,693
2021-10-03,,44,,77,3,,8,23,,76,244,,,,33,151,,0,,,1,32,8,18,9,,18,29,66,,2,717
2021-10-04,,42,,56,5,,9,28,,283,382,,,,39,151,,0,,,,62,8,33,8,,23,24,104,,3,807
2021-10-05,,75,,113,1,,14,27,,290,375,,,,47,152,,0,,,,43,13,27,7,,19,40,80,,2,835
2021-10-06,,62,,106,2,,19,35,,202,302,,,,37,152,,0,,,1,45,12,28,14,,21,32,92,,5,781
2021-10-07,,54,,90,9,,16,36,,194,340,,,,49,152,,0,,,1,38,9,34,14,,26,52,94,,0,815
2021-10-08,,64,,81,7,,11,32,,218,342,,,,48,152,,0,,,,53,7,26,11,,21,35,85,,3,786
2021-10-09,,53,,111,2,,10,29,,128,248,,,,56,152,,1,,,,37,4,25,7,,12,53,80,,0,764
2021-10-10,,41,,63,2,,11,31,,91,298,,,,40,149,,0,,,1,40,4,17,8,,14,30,82,,2,727
2021-10-11,,50,,58,5,,15,56,,226,381,,,,34,149,,0,,,,66,13,27,10,,27,23,115,,1,841
2021-10-12,,70,,118,7,,12,58,,254,377,,,,54,149,,0,,,,58,7,45,7,,31,47,75,,0,934
2021-10-13,,70,,107,7,,12,53,,219,371,,,,63,149,,0,,,,62,10,30,6,,20,39,136,,1,920
2021-10-14,,78,,99,7,,17,48,,206,410,,,,58,149,,0,,,,69,10,31,4,,22,36,106,,1,908
2021-10-15,,61,,92,1,,24,44,,215,407,,,,47,150,,0,,,,69,6,32,4,,29,43,123,,4,940
2021-10-16,,97,,103,3,,25,30,,109,320,,,,53,150,,1,,,,50,10,29,4,,15,47,91,,2,879
2021-10-17,,59,,78,5,,19,47,,71,374,,,,76,188,,,,,,58,6,25,5,,22,23,97,,0,968
2021-10-18,,82,,72,5,,18,57,,277,515,,,,42,188,,,,,2,96,13,49,7,,23,26,122,,2,1077
2021-10-19,,107,,125,7,,22,55,,286,461,,,,73,188,,,,,,88,18,59,10,,33,44,99,,4,1104
2021-10-20,,130,,98,4,,25,72,,263,433,,,,54,188,,,,,2,107,11,56,10,,23,58,104,,0,1098
2021-10-21,,116,,125,3,,29,55,,273,469,,,,40,188,,,,,2,101,12,54,7,,17,47,105,,1,974
2021-10-22,,126,,131,3,,34,61,,203,452,,,,51,188,,,,,,83,11,53,9,,22,65,105,,2,931
2021-10-23,,111,,148,11,,33,54,,184,339,,,,55,188,,,,,1,80,6,36,8,,22,73,78,,0,906
2021-10-24,,92,,112,3,,27,67,,63,383,,,,41,,,,,,,72,8,39,9,,31,43,76,,4,967
2021-10-25,,119,,,2,,33,65,,269,579,,,,40,,,,,,,113,13,78,9,,30,50,105,,3,1054
2021-10-26,,157,,,4,,35,68,,316,516,,,,44,,,,,,1,109,11,106,9,,29,72,99,,2,1100
2021-10-27,,154,,,5,,37,79,,283,441,,,,64,,,,,,,135,17,100,5,,12,85,108,,4,1141
2021-10-28,,145,,,6,,44,63,,271,361,,,,71,,,,,,1,129,16,62,10,,24,87,100,,3,1060
2021-10-29,,181,,,9,,44,63,,283,265,,,,64,,,,,,1,149,19,59,3,,5,77,105,,0,1015
2021-10-30,,186,,,3,,38,54,,176,177,,,,63,,,,,,,127,18,33,4,,6,89,66,,1,891
2021-10-31,,110,,,5,,35,55,,105,96,,,,59,,,,,,1,120,13,21,8,,3,67,78,,2,1004
2021-11-01,,125,,,5,,39,65,,103,32,,,,47,,,,,,,183,22,9,,,1,58,91,,3,1075
2021-11-02,,165,,,,,49,68,,416,,,,,62,,,,,,,151,23,12,,,,72,116,,2,1055
2021-11-03,,236,,,,,51,49,,447,,,,,49,,,,,,,140,18,1,,,,99,44,,0,
2021-11-04,,200,,,,,30,73,,334,,,,,57,,,,,,,153,4,,,,,131,2,,0,
2021-11-05,,174,,,,,61,61,,334,,,,,65,,,,,,,168,,,,,,106,,,0,
2021-11-06,,,,,,,52,45,,190,,,,,41,,,,,,,93,,,,,,94,,,2,
2021-11-07,,,,,,,32,42,,100,,,,,51,,,,,,,98,,,,,,92,,,2,
2021-11-08,,,,,,,,,,,,,,,52,,,,,,,9,,,,,,91,,,0,
