date,AT-pt,AT-dt,BE-pt,BE-dt,BG-pt,BG-dt,HR-pt,HR-dt,CY-pt,CY-dt,CZ-pt,CZ-dt,DK-pt,DK-dt,EE-pt,EE-dt,FI-pt,FI-dt,FR-pt,FR-dt,DE-pt,DE-dt,GR-pt,GR-dt,HU-pt,HU-dt,IS-pt,IS-dt,IE-pt,IE-dt,IT-pt,IT-dt,LV-pt,LV-dt,LI-pt,LI-dt,LT-pt,LT-dt,LU-pt,LU-dt,MT-pt,MT-dt,NL-pt,NL-dt,NO-pt,NO-dt,PL-pt,PL-dt,PT-pt,PT-dt,RO-pt,RO-dt,SK-pt,SK-dt,SI-pt,SI-dt,ES-pt,ES-dt,SE-pt,SE-dt,CH-pt,CH-dt,GB-pt,GB-dt
2020-03-01,7,0,2,0,0,0,7,0,0,0,3,0,4,0,1,0,9,0,130,2,117,0,7,0,0,0,3,0,1,0,1694,34,0,0,0,0,0,0,1,0,0,0,18,0,19,0,0,0,0,0,3,0,0,0,0,0,84,0,14,0,27,0,94,3
2020-03-02,8,0,8,0,0,0,7,0,0,0,3,0,4,0,1,0,10,0,191,3,150,0,7,0,0,0,6,0,1,0,2036,52,1,0,0,0,0,0,1,0,0,0,24,0,25,0,0,0,2,0,3,0,0,0,0,0,120,0,19,0,42,0,134,4
2020-03-03,12,0,13,0,0,0,9,0,0,0,5,0,6,0,2,0,10,0,212,4,188,0,7,0,0,0,11,0,2,0,2502,79,1,0,0,0,0,0,1,0,0,0,38,0,32,0,0,0,2,0,3,0,0,0,0,0,165,1,32,0,56,0,189,4
2020-03-04,17,0,23,0,0,0,10,0,0,0,8,0,10,0,2,0,14,0,285,4,240,0,9,0,2,0,26,0,6,0,3089,107,1,0,1,0,0,0,1,0,0,0,82,0,56,0,1,0,5,0,4,0,0,0,0,0,222,2,62,0,90,0,245,5
2020-03-05,23,0,50,0,0,0,10,0,0,0,12,0,10,0,3,0,20,0,423,7,349,0,31,0,2,0,34,0,6,0,3858,148,1,0,1,0,0,0,1,0,0,0,128,0,87,0,1,0,8,0,6,0,0,0,2,0,259,3,87,0,114,0,294,7
2020-03-06,37,0,109,0,0,0,11,0,0,0,18,0,23,0,10,0,21,0,613,9,534,0,45,0,2,0,43,0,18,0,4636,197,1,0,1,0,0,0,2,0,0,0,188,1,108,0,5,0,13,0,9,0,1,0,7,0,400,5,146,0,214,1,373,9
2020-03-07,46,0,169,0,0,0,12,0,0,0,19,0,23,0,10,0,28,1,938,16,684,0,46,0,4,0,50,0,18,0,5883,233,1,0,1,0,0,0,2,0,3,0,265,1,147,0,5,0,20,0,9,0,1,0,7,0,500,10,179,0,268,1,428,9
2020-03-08,75,0,200,0,4,0,12,0,0,0,31,0,35,0,10,0,35,1,1115,19,847,0,73,0,7,0,50,0,19,0,7375,366,2,0,1,0,0,0,3,0,3,0,321,3,176,0,11,0,30,0,15,0,3,0,16,0,673,17,225,0,337,2,482,11
2020-03-09,98,0,239,0,4,0,12,0,0,0,31,0,90,0,10,0,44,1,1401,25,1112,2,73,0,9,0,58,0,21,0,9172,463,6,0,1,0,0,0,3,0,3,0,382,3,205,0,16,0,30,0,15,0,5,0,16,0,1073,28,326,0,374,2,629,16
2020-03-10,126,0,267,0,4,0,14,0,2,0,41,0,262,0,12,0,61,1,1773,33,1296,2,89,0,9,0,69,0,34,0,10149,631,8,0,1,0,0,0,5,0,5,0,503,4,400,0,22,0,41,0,25,0,7,0,31,0,1695,35,424,1,491,5,887,19
2020-03-11,148,0,314,3,7,1,19,0,2,0,91,0,442,0,16,0,115,1,2281,48,1567,3,99,1,13,0,85,0,43,1,12462,827,10,0,3,0,0,0,7,0,6,0,603,5,598,0,31,0,59,0,45,0,7,0,57,0,2277,54,620,1,652,7,1298,26
2020-03-12,203,0,314,3,7,1,19,0,6,0,94,0,615,0,16,0,191,1,2281,48,2369,5,99,1,13,0,103,0,43,1,15113,1016,10,0,4,0,0,0,19,0,6,0,804,5,702,0,49,1,59,0,49,0,10,0,89,0,2277,55,771,2,652,10,1787,39
2020-03-13,312,0,559,3,23,1,32,0,6,0,141,0,801,0,79,0,251,1,3661,79,3062,5,190,1,19,0,134,0,90,1,17660,1266,17,0,5,0,0,0,34,0,12,0,959,10,996,0,68,2,112,0,89,0,21,0,141,0,5232,133,923,3,1139,11,2266,55
2020-03-14,409,1,689,4,41,2,38,0,14,0,189,0,827,1,115,0,279,2,4469,91,3795,8,228,3,30,0,156,0,129,2,21157,1441,26,0,7,0,0,0,51,1,18,0,1135,12,1090,3,103,3,169,0,123,0,32,0,181,1,6391,195,994,5,1359,14,2630,76
2020-03-15,591,1,886,4,51,2,49,0,21,0,253,0,864,2,171,0,308,3,4499,91,4838,12,331,4,32,1,171,5,129,2,24747,1809,30,0,11,0,0,0,59,1,21,0,1413,20,1221,3,119,3,245,0,131,0,44,0,219,1,7798,289,1063,7,2200,22,3072,107
2020-03-16,801,2,1058,5,52,2,57,0,30,0,298,0,914,3,205,0,361,3,6633,148,6012,12,331,4,39,1,180,0,169,2,27980,2158,34,0,14,0,0,0,77,1,30,0,1705,24,1333,3,177,4,331,0,158,0,61,0,253,1,9942,342,1146,8,2200,33,3684,158
2020-03-17,999,3,1243,10,67,2,65,0,40,0,396,0,977,4,225,0,413,4,7652,148,7156,12,387,5,50,1,220,1,223,2,31506,2503,49,0,19,0,0,0,140,1,38,0,2051,43,1463,3,238,5,448,1,184,0,72,0,275,1,11748,533,1265,14,2700,40,4452,216
2020-03-18,1225,5,1486,14,92,2,81,0,40,0,464,0,1057,4,258,0,460,6,9043,148,8198,12,418,5,58,1,250,1,292,2,35713,2978,71,0,25,0,0,0,203,2,38,0,2460,58,1550,6,251,5,448,2,260,0,96,1,275,1,13910,623,1410,21,3028,48,5451,289
2020-03-19,1571,7,1795,21,94,3,105,1,58,0,694,0,1151,6,267,0,550,6,10871,243,10999,20,418,6,73,1,330,1,557,3,41035,3405,86,0,34,0,1,0,335,4,53,0,2994,76,1746,7,355,5,785,3,277,0,104,1,286,1,17963,830,1553,30,4075,58,6506,368
2020-03-20,1943,12,2257,37,127,3,128,1,58,0,833,0,1255,9,283,0,649,7,12612,450,13957,31,495,8,85,3,409,0,683,3,47021,4032,111,0,36,0,1,0,484,4,64,0,3631,106,1914,7,425,5,1020,6,308,0,123,1,341,1,20410,1043,1733,38,5294,78,7760,486
2020-03-21,2398,15,2815,67,163,3,206,1,67,0,995,0,1326,13,306,0,736,8,14282,562,16662,47,530,13,103,4,473,1,785,3,53578,4825,124,0,44,0,7,0,670,8,73,0,4204,136,2118,7,536,5,1280,12,367,0,137,1,383,1,25374,1375,1868,49,6575,98,8957,630
2020-03-22,2909,20,3401,75,187,3,254,1,84,0,1120,1,1395,13,326,0,823,10,16533,674,18610,55,624,15,131,6,568,1,906,4,59138,5476,139,0,46,0,44,0,798,8,90,0,4749,179,2385,7,634,7,1600,14,433,3,178,0,414,2,28768,1772,1986,60,7474,113,10333,813
2020-03-23,3455,26,3743,88,201,3,315,1,95,0,1236,1,1450,24,352,0,901,11,19856,860,22672,86,695,17,167,7,588,1,1125,6,63927,6077,180,0,48,0,58,0,875,8,107,0,5560,213,2621,10,749,8,2060,23,576,7,185,0,442,3,35136,2311,2168,81,8795,141,12668,1021
2020-03-24,4073,34,4269,122,218,3,382,1,116,0,1394,3,1591,32,369,0,985,15,22054,1100,27436,114,743,20,187,9,648,2,1329,7,69176,6820,197,0,51,0,88,1,1099,8,110,0,6412,276,2863,12,901,10,2362,33,794,11,204,0,480,4,39885,2808,2398,103,9877,161,15039,1284
2020-03-25,4760,46,4937,178,242,3,442,1,124,3,1654,6,1724,34,404,1,1084,16,24967,1331,31554,149,835,22,226,10,737,2,1564,9,74386,7503,221,0,53,0,112,2,1333,8,129,0,7431,356,3084,14,1051,14,2995,43,906,17,216,0,528,5,49515,3647,2712,134,10897,196,17732,1621
2020-03-26,5483,56,6235,220,264,3,495,3,132,3,1925,9,1877,41,538,1,1188,21,28856,1695,36508,198,835,22,261,10,802,2,1819,19,80589,8215,244,0,57,0,167,3,1453,9,134,0,8603,434,3369,14,1221,16,3544,60,1029,23,226,0,562,6,57786,4365,2998,166,11811,238,20816,2034
2020-03-27,6237,65,7284,289,293,3,586,3,146,3,2279,9,2046,52,575,1,1301,25,32609,1994,42288,253,835,22,300,10,890,2,2121,22,86498,9134,280,0,61,0,183,4,1605,15,139,0,9762,546,3755,19,1389,16,4268,76,1292,26,269,0,632,9,65719,5138,3363,201,12928,273,24017,2497
2020-03-28,7293,81,9134,353,331,7,657,5,162,5,2631,11,2201,65,645,1,1396,27,37162,2311,48582,325,835,22,343,11,963,2,2415,36,92472,10023,305,0,62,0,227,4,1831,18,149,0,10866,639,4015,23,1638,18,5170,100,1452,37,292,0,684,9,73235,5982,3663,239,14076,329,26839,3013
2020-03-29,8100,101,10836,431,346,8,713,6,179,5,2817,16,2395,72,679,3,1473,31,39761,2603,52547,389,1156,38,408,13,1020,2,2615,46,97689,10779,347,0,63,0,263,4,1950,21,151,0,11750,771,4284,25,1862,22,5962,119,1815,43,314,0,730,11,80110,6803,3943,284,14829,376,29696,3599
2020-03-30,8717,120,11899,513,359,8,790,6,214,6,3001,23,2577,77,715,3,1543,41,44029,3020,57298,455,1156,38,447,15,1086,2,2910,54,101739,11591,376,0,65,0,280,4,1988,22,156,0,12595,864,4445,32,2055,31,6408,140,2109,65,336,0,756,11,87956,7716,4359,332,15922,434,33969,4310
2020-03-31,9264,134,12775,705,399,8,867,6,230,7,3308,31,2860,90,745,4,1672,51,51579,3517,61913,583,1156,38,492,16,1135,2,3235,71,105792,12428,398,0,69,0,353,4,2178,23,169,0,13614,1039,4641,39,2311,33,7443,160,2245,82,363,0,802,15,95923,8464,4834,385,16605,485,38484,5141
2020-04-01,9937,155,13964,828,422,10,963,6,262,8,3508,39,3107,104,779,5,1797,58,56362,4767,67366,732,1156,38,525,20,1220,2,3447,85,110574,13155,446,0,73,0,397,6,2319,29,188,0,14697,1173,4863,44,2554,43,8251,187,2460,92,400,1,841,15,104118,9387,5320,455,17768,546,43398,6065
2020-04-02,10486,174,15348,1011,457,10,1011,7,320,9,3858,44,3386,123,858,11,1946,62,58404,5376,73522,872,1156,38,585,21,1319,4,3849,98,115242,13915,458,0,76,0,470,6,2487,30,196,0,15723,1339,5147,50,2946,57,9034,209,2738,115,426,1,897,17,112065,10348,5874,535,18827,605,48263,7072
2020-04-03,11035,185,16770,1143,485,14,1079,8,356,9,4091,53,3757,139,961,12,2107,68,63588,6496,79696,1017,1613,59,623,26,1364,4,4273,120,119827,14681,493,1,78,0,528,6,2612,31,202,0,16627,1487,5370,59,3383,71,9886,246,3183,133,450,1,934,20,119199,11198,6475,605,19606,660,53178,8133
2020-04-04,11473,205,18431,1283,503,17,1126,12,396,9,4472,59,4077,161,1039,13,2306,73,46483,7548,85778,1158,1673,68,678,32,1417,4,4604,137,124632,15362,509,1,78,1,571,7,2729,31,213,0,17851,1651,5550,62,3627,79,10524,266,3613,146,471,1,977,22,126168,11947,6832,373,20505,719,57198,9280
2020-04-05,11884,223,19691,1447,531,20,1182,15,426,9,4587,67,4369,179,1097,15,2387,80,47299,8066,91714,1342,1735,73,733,34,1486,4,4994,158,128948,15887,533,1,78,1,617,8,2804,36,227,0,18803,1766,5687,71,4102,94,11278,295,3864,151,485,1,997,28,131646,12641,7172,401,21100,771,60792,10500
2020-04-06,12137,243,20814,1632,549,22,1222,16,446,9,4822,78,4681,187,1108,19,2509,84,49934,8899,95391,1434,1755,79,744,38,1562,6,5364,174,132547,16523,542,1,78,1,648,10,2843,41,241,0,19580,1867,5865,76,4413,107,11730,311,4057,176,534,2,1021,30,136675,13341,7561,477,21657,823,66067,11670
2020-04-07,12320,265,22194,2035,577,23,1282,18,465,9,5017,88,5071,203,1149,21,2718,94,46400,10315,99225,1607,1832,81,817,47,1586,6,5709,210,135586,17127,548,2,79,1,688,11,2970,44,293,0,20549,2101,6086,89,4848,129,12442,345,4417,197,581,2,1059,36,141942,14045,8299,591,22253,882,71517,12963
2020-04-08,12626,296,23403,2240,593,24,1343,19,494,9,5312,99,5402,218,1185,24,2918,111,50242,10856,103228,1861,1884,83,895,58,1616,6,6074,235,139422,17669,577,2,79,1,721,11,3034,46,299,1,21762,2248,6086,101,5205,159,13141,380,4761,220,682,2,1091,40,148220,14792,8954,687,23280,946,76646,14424
2020-04-09,12915,325,24983,2523,618,24,1407,20,526,9,5569,112,5635,237,1207,24,3056,119,54003,12196,108202,2107,1955,86,980,66,1648,6,6574,263,143626,18279,589,3,80,1,771,11,3115,52,337,2,23097,2396,6211,108,5575,174,13956,409,5202,248,701,2,1124,43,153222,15447,9599,793,24051,991,81498,15799
2020-04-10,13205,342,26667,3019,635,25,1495,21,564,10,5732,119,5819,247,1258,24,3214,130,55538,13181,113525,2373,2009,90,1190,77,1675,7,8089,287,147577,18849,612,3,80,1,809,12,3223,54,350,2,24413,2511,6314,113,5955,181,15472,435,5467,270,715,2,1160,45,158273,16081,10053,870,24551,1046,85813,17118
2020-04-11,13481,364,28018,3346,661,28,1534,21,595,10,5831,129,5996,260,1304,24,3285,133,56972,13816,117658,2544,2081,93,1310,85,1689,8,8928,320,152271,19468,630,3,80,1,848,13,3270,62,370,3,25587,2643,6409,119,6356,208,15987,470,5990,291,728,2,1188,50,163027,16606,10448,887,25107,1087,89390,18483
2020-04-12,13838,387,29647,3600,675,29,1600,23,616,10,5991,138,6174,273,1309,25,3360,136,107712,14377,120479,2673,2081,93,1410,99,1701,8,9655,334,156363,19899,651,5,81,1,881,14,3281,66,378,3,26551,2737,6525,128,6674,232,16585,504,6300,316,742,2,1205,53,166831,17209,10912,899,25415,1141,92885,19861
2020-04-13,14041,404,30589,3903,685,32,1650,25,633,11,6059,143,6318,285,1332,28,3440,147,110836,14950,123016,2799,2145,99,1458,109,1711,8,10647,365,159516,20465,655,5,81,1,900,15,3292,69,384,3,27419,2823,6603,134,6934,245,16934,535,6633,331,769,2,1212,55,170099,17756,11349,919,25688,1173,97068,21093
2020-04-14,14152,416,31119,4157,713,35,1704,31,662,12,6111,161,6511,299,1373,31,3557,159,128272,15693,125098,2969,2170,101,1512,122,1720,8,11479,406,162488,21067,657,5,81,1,906,16,3307,67,393,3,28153,2945,6623,139,7202,263,17448,567,6879,351,835,2,1220,56,172541,18056,11828,1033,25936,1209,101393,22347
2020-04-15,14239,437,33573,4440,747,36,1741,33,695,12,6216,166,6681,309,1400,35,3732,169,131476,17129,127584,3254,2192,102,1579,134,1727,8,12547,444,165155,21645,666,5,81,1,924,20,3373,69,399,3,29214,3134,6740,150,7582,286,18091,599,7216,372,863,6,1248,61,177644,18708,12432,1203,26336,1256,106458,23623
2020-04-16,14389,450,34809,4857,800,38,1791,35,715,12,6433,169,6879,321,1434,36,3862,183,144035,17882,130450,3569,2207,105,1652,142,1739,8,13271,486,168941,22170,675,5,81,1,951,20,3444,69,412,3,30449,3315,6896,152,7918,314,18841,629,7707,392,977,8,1268,61,184948,19315,13055,1333,26732,1298,111756,24945
2020-04-17,14518,466,36138,5163,846,41,1814,36,735,12,6549,173,7073,336,1459,38,3982,195,145896,18642,133830,3868,2224,108,1763,156,1754,9,13980,530,172434,22745,682,5,82,1,977,21,3480,72,422,3,31589,3459,6937,161,8379,332,19022,657,8067,411,1049,9,1304,66,190839,20002,13743,1400,27078,1330,116721,26217
2020-04-18,14629,489,37183,5453,878,41,1832,39,735,12,6606,181,7242,346,1512,38,4107,205,149683,19283,137439,4110,2235,110,1834,172,1760,9,14758,571,175925,23227,712,5,82,1,1026,22,3537,72,426,3,32655,3601,7036,164,8742,347,19685,687,8418,421,1089,11,1317,70,191726,20043,14275,1511,27404,1366,121437,27406
2020-04-19,14729,502,38496,5683,894,42,1871,47,761,12,6746,186,7384,355,1528,40,4163,205,150752,19668,139897,4294,2245,116,1916,189,1771,9,15251,610,178972,23660,727,5,82,1,1119,23,3550,73,427,3,33405,3684,7078,165,9287,360,20206,714,8746,451,1161,12,1330,74,198674,20453,14663,1540,27740,1391,125289,28528
2020-04-20,14789,520,39983,5828,929,43,1881,47,767,12,6900,194,7515,364,1535,40,4230,211,153197,20214,141672,4404,2245,116,1984,199,1773,10,15652,687,181228,24114,739,5,82,1,1140,26,3558,75,431,3,34134,3751,7156,181,9593,380,20863,735,8936,478,1173,13,1335,77,200210,20852,15124,1580,27944,1432,130147,29688
2020-04-21,14836,537,40956,5998,975,45,1908,48,772,12,7033,201,7695,370,1552,43,4373,228,155821,20736,143457,4598,2401,121,2098,213,1778,10,16040,730,183957,24648,748,9,82,1,1166,26,3618,78,443,3,34842,3916,7191,182,9856,401,21379,762,9242,498,1199,14,1344,77,204178,21282,15831,1765,28063,1469,134907,30773
2020-04-22,14904,546,41889,6262,1024,49,1950,48,784,12,7132,208,7912,384,1559,44,4485,232,157603,21280,145694,4879,2408,121,2168,225,1785,10,16671,769,187327,25085,761,11,82,1,1188,27,3654,80,444,3,35729,4054,7338,187,10169,426,21982,785,9710,524,1244,14,1353,79,208389,21717,16553,1937,28268,1497,140397,31875
2020-04-23,14974,564,42797,6490,1097,52,1981,50,790,14,7187,210,8073,394,1592,45,4609,238,155881,21796,148046,5094,2463,125,2284,239,1789,10,17607,794,189973,25549,778,11,82,1,1206,27,3665,83,445,3,36535,4177,7401,194,10511,454,22353,820,10096,545,1325,15,1366,79,213024,22157,17311,2021,28496,1531,145540,32913
2020-04-24,15047,576,44293,6679,1234,54,2009,51,795,14,7273,214,8210,403,1605,46,4725,238,158653,22185,150383,5321,2490,130,2443,262,1789,10,18184,1014,192994,25969,784,12,83,1,1222,28,3695,85,447,3,37190,4289,7463,199,10892,494,22797,854,10417,567,1360,17,1373,80,202990,22524,18090,2152,28677,1554,150513,33918
2020-04-25,15107,584,45325,6917,1247,55,2016,54,804,14,7352,218,8445,418,1635,46,4817,241,160295,22554,152438,5500,2506,130,2443,262,1790,10,18561,1063,195351,26384,804,12,83,1,1235,29,3711,85,448,4,37845,4409,7499,201,11273,524,23392,880,10635,601,1373,17,1388,81,205905,22902,18563,2192,28894,1581,154261,34837
2020-04-26,15186,592,46134,7094,1300,56,2030,55,810,14,7404,220,8575,422,1643,49,4893,247,160907,22796,154175,5640,2517,134,2500,272,1792,10,19262,1087,197675,26644,812,12,83,1,1246,31,3723,88,448,4,38245,4475,7527,201,11617,535,23864,903,11036,619,1379,18,1396,82,207634,23190,18863,2194,29061,1594,157729,35731
2020-04-27,15248,606,46687,7207,1363,58,2039,59,817,14,7445,223,8698,427,1647,50,4966,252,164592,23233,155193,5750,2534,136,2583,280,1792,10,19648,1102,199414,26977,818,13,83,1,1261,32,3729,88,450,4,38416,4518,7599,205,11902,562,24027,928,11339,641,1381,18,1402,83,209465,23521,19426,2274,29164,1614,162431,36597
2020-04-28,15283,615,47334,7331,1399,58,2047,63,822,15,7504,227,8851,434,1660,50,5089,253,167650,23600,156337,5913,2566,138,2649,291,1795,10,19877,1159,201505,27359,836,13,83,1,1263,32,3741,89,458,4,38802,4566,7660,206,12218,596,24322,948,11616,663,1384,20,1408,86,210773,23822,20168,2355,29264,1637,167152,37398
2020-04-29,15353,621,47859,7501,1447,64,2062,67,837,15,7579,227,9008,443,1666,50,5228,255,166193,24026,157641,6115,2576,139,2727,300,1797,10,20253,1190,203591,27682,849,15,83,1,1292,32,3769,89,463,4,39316,4711,7710,207,12640,624,24505,973,11978,693,1391,22,1418,89,212917,24275,20966,2462,29407,1649,172587,38215
2020-04-30,15402,635,48519,7594,1506,66,2076,69,843,15,7682,236,9158,452,1689,52,5336,256,167326,24315,159119,6288,2591,140,2775,312,1797,10,20612,1232,205463,27967,858,15,83,1,1311,32,3784,90,465,4,39791,4795,7738,210,12877,644,25045,989,12240,717,1396,23,1429,91,213435,24543,21601,2586,29586,1665,177543,38995
2020-05-01,15463,642,49032,7703,1555,68,2085,75,850,15,7737,240,9311,460,1694,52,5422,260,167846,24532,160758,6481,2612,140,2863,323,1798,10,20833,1265,207428,28236,870,16,83,1,1317,32,3802,92,467,4,40236,4893,7783,210,13105,651,25351,1007,12567,744,1403,23,1434,92,215216,24543,22133,2653,29705,1679,182270,39781
2020-05-02,15517,649,49517,7765,1594,72,2088,77,857,15,7755,245,9407,475,1699,53,5470,262,168637,24729,161703,6575,2620,143,2942,335,1798,10,21176,1286,209328,28710,871,16,83,1,1321,33,3812,92,468,4,40571,4987,7809,211,13375,664,25190,1023,12732,771,1407,24,1439,94,216582,25100,22432,2669,29817,1688,185491,40486
2020-05-03,15554,653,49906,7844,1618,73,2096,79,864,15,7781,248,9523,484,1700,55,5528,265,168887,24862,162496,6649,2626,144,2998,340,1799,10,21506,1303,210717,28884,879,16,83,1,1328,33,3824,96,477,4,40770,5056,7847,211,13693,678,25282,1043,13163,790,1408,24,1439,96,217466,25264,22693,2679,29905,1695,188465,41148
2020-05-04,15582,657,50267,7924,1652,78,2101,80,872,15,7819,252,9670,493,1703,55,5589,268,169405,25168,163175,6692,2632,146,3035,351,1799,10,21772,1319,211938,29079,896,16,83,1,1335,33,3828,96,480,4,41087,5082,7904,214,14006,698,25524,1063,13512,818,1413,25,1439,97,218011,25428,23169,2769,29981,1702,191843,41824
2020-05-05,15594,666,50509,8016,1704,80,2112,83,874,15,7896,257,9821,503,1711,55,5722,275,170467,25498,163860,6831,2642,146,3065,363,1799,10,21983,1339,213013,29315,896,17,83,1,1339,33,3840,96,482,5,41319,5168,7955,215,14431,716,25702,1074,13837,841,1421,25,1445,98,219329,25613,23826,2854,30009,1714,195527,42466
2020-05-06,15624,670,50781,8339,1778,84,2119,85,878,15,7974,262,9938,506,1713,55,5847,279,174596,25772,164807,6996,2663,147,3111,373,1799,10,22248,1375,214457,29684,900,17,83,1,1346,34,3851,98,484,5,41774,5204,7996,216,14740,733,26182,1089,14107,864,1429,25,1448,99,220325,25857,24572,2941,30060,1719,199358,43093
2020-05-07,15678,673,51420,8415,1829,84,2125,86,883,15,8031,270,10083,514,1720,56,5942,281,175218,25950,166091,7119,2678,148,3150,383,1801,10,22385,1403,215858,29958,909,18,83,1,1350,35,3859,100,486,5,42093,5288,8034,217,15047,755,26715,1105,14499,888,1445,26,1449,99,221447,26070,25359,3040,30126,1730,203125,43724
2020-05-08,15724,680,52011,8521,1872,86,2161,86,889,15,8077,273,10218,522,1725,56,6050,288,175743,26192,167300,7266,2691,150,3178,392,1801,10,22541,1429,217185,30201,928,18,83,1,1361,35,3871,100,489,5,42382,5359,8070,218,15366,776,27268,1114,14811,923,1455,26,1450,100,222857,26299,26059,3175,30207,1738,206174,44293
2020-05-09,15763,683,52596,8581,1921,90,2176,87,891,15,8095,276,10319,526,1733,60,6131,289,176132,26271,168551,7369,2710,151,3213,405,1801,10,22760,1446,218268,30395,930,18,83,1,1386,35,3877,101,490,5,42627,5422,8099,219,15651,785,27406,1126,15131,939,1455,26,1454,101,223578,26478,26568,3220,30251,1745,208324,44832
2020-05-10,15812,688,53081,8656,1965,91,2187,90,892,15,8123,280,10429,529,1739,60,6178,291,176338,26341,169218,7395,2716,151,3263,413,1801,10,22996,1458,219070,30560,939,18,83,1,1400,36,3886,101,496,5,42788,5440,8105,219,15996,800,27581,1135,15362,961,1457,26,1457,102,224350,26621,26846,3225,30305,1754,210645,45326
2020-05-11,15842,695,53449,8707,1990,93,2196,91,898,16,8176,282,10513,533,1741,61,6206,291,176651,26604,169575,7417,2726,151,3284,421,1801,10,23135,1467,219814,30739,946,18,83,1,1409,36,3888,101,503,5,42984,5456,8132,224,16326,811,27679,1144,15588,982,1457,26,1460,102,227436,26744,27301,3256,30344,1757,214228,45754
2020-05-12,15857,698,53779,8761,2023,95,2207,91,901,16,8221,283,10591,527,1746,61,6298,292,177330,26951,170508,7533,2744,152,3313,425,1801,10,23242,1488,221216,30911,950,18,83,1,1418,39,3894,102,506,5,43211,5510,8157,228,16921,839,27913,1163,15778,1002,1465,27,1461,102,228030,26920,28055,3313,30380,1758,217617,46195
2020-05-13,15923,701,53981,8843,2069,96,2213,94,903,16,8269,290,10667,533,1751,61,6365,294,177790,27034,171306,7634,2760,155,3341,430,1802,10,23401,1497,222104,31106,951,19,83,1,1431,39,3904,103,508,6,43481,5562,8175,229,17204,861,28132,1175,16002,1036,1469,27,1463,103,228691,27104,28755,3460,30413,1761,220915,46649
2020-05-14,15961,702,54288,8903,2100,99,2221,94,905,17,8351,293,10713,537,1758,62,6443,296,178353,27383,172239,7723,2770,156,3380,436,1802,10,23827,1506,223096,31368,962,19,83,1,1440,39,3915,103,522,6,43681,5590,8196,232,17615,883,28319,1184,16247,1053,1477,27,1464,103,229540,27321,29415,3529,30463,1763,223524,47114
2020-05-15,16013,705,54644,8959,2138,102,2222,95,907,17,8406,295,10791,537,1766,63,6493,296,178837,27485,173152,7824,2810,160,3417,442,1802,10,23956,1518,223885,31610,970,19,83,1,1452,41,3923,104,532,6,43870,5643,8219,232,18016,907,28583,1190,16437,1070,1480,27,1465,103,230183,27459,30103,3646,30514,1767,226041,47535
2020-05-16,16067,709,54989,9005,2175,105,2224,95,910,17,8455,296,10858,543,1770,63,6548,297,179140,27581,173772,7881,2819,162,3473,448,1802,10,24048,1533,224760,31763,997,19,83,1,1466,42,3930,104,546,6,43995,5670,8237,232,18257,915,28810,1203,16704,1094,1493,28,1465,103,230698,27563,30461,3674,30572,1768,228106,47954
2020-05-17,16148,709,55280,9052,2211,108,2226,95,914,17,8475,298,10927,547,1774,63,6573,299,179250,28064,174355,7914,2834,163,3509,451,1802,10,24112,1543,225435,31908,1008,19,83,1,1476,43,3945,107,553,6,44141,5680,8249,232,18529,925,29036,1218,16871,1107,1494,28,1466,104,230698,27563,30720,3679,30587,1772,229932,48331
2020-05-18,16163,710,55559,9080,2235,110,2228,95,916,17,8586,297,10968,548,1784,64,6602,299,179650,28193,174697,7935,2836,165,3535,462,1802,10,24200,1547,225886,32007,1009,19,83,1,1482,45,3947,107,558,6,44249,5694,8257,233,18885,936,29209,1231,17036,1120,1495,28,1466,104,231606,27709,31151,3698,30597,1778,232506,48738
2020-05-19,16189,712,55791,9108,2259,112,2232,96,917,17,8647,302,11044,551,1791,64,6647,301,180143,27976,175210,8007,2840,165,3556,467,1802,10,24251,1561,226699,32169,1012,21,83,1,1494,45,3958,109,569,6,44447,5715,8267,233,19268,948,29432,1247,17191,1137,1495,28,1467,104,232037,27778,31818,3743,30618,1781,235547,49110
2020-05-20,16247,716,55983,9150,2292,116,2234,96,918,17,8721,304,11117,554,1794,64,6688,301,180499,28085,176007,8090,2850,166,3598,470,1803,10,24315,1571,227364,32330,1016,21,83,1,1510,46,3971,109,584,6,44700,5748,8281,234,19739,962,29660,1263,17387,1147,1496,28,1468,105,232555,27888,32626,3831,30658,1781,238253,49463
2020-05-21,16308,717,56235,9186,2331,120,2237,97,922,17,8754,306,11182,561,1800,64,6731,302,180752,28167,176752,8147,2853,168,3641,473,1803,10,24391,1583,228006,32486,1025,22,83,1,1525,46,3980,109,599,6,44888,5775,8309,235,20143,972,29912,1277,17585,1156,1502,28,1468,106,233037,27940,33236,3871,30694,1786,240795,49805
2020-05-22,16338,721,56511,9212,2372,125,2243,99,923,17,8813,312,11230,561,1807,64,6753,302,181444,28315,177212,8174,2873,169,3678,476,1803,10,24506,1592,228658,32616,1030,22,83,1,1537,46,3981,109,600,6,45064,5788,8332,235,20619,982,30200,1289,17712,1166,1503,28,1468,106,234824,28628,33768,3925,30707,1788,242825,50105
